Category,Item Name,SKU,Barcode,Batch Number,Quantity,Minimum Stock,Cost per Unit,Price per Unit,Discount,Net Price,Received Date,Expiry Date,Status
Bakery,Whole Wheat Bread,BAKE-WHOL-001,1122334455666,BATCH005,30,10,$1.25,$1.80,0%,$1.80,20/07/2025,06/02/2026,Available
Electronics,Neo Qled 8K Smart Tv,ELEC-NEO8-001,8806094931129,BATCH-TV2025A,2,3,"$9,300.0","$12,997.99",0%,"$12,997.99",20/07/2025,21/07/2101,Low Stock
Household,Ceramic Floor Tile 30X30Cm,HOUS-CERA30-001,6291045860214,BATCH0101,5,20,$1.75,$4.99,10%,$4.49,19/07/2025,02/07/2100,Low Stock
Personal Care,Herbal Shampoo 250Ml,PERS-HERB250-001,1234567890128,BATCH035,0,30,$2.3,$4.5,0%,$4.5,19/07/2025,13/08/2027,Out of Stock
Snacks,Chocolate Hazelnut Bar,SNAC-CHOC-001,9876543210982,BTCH024,100,30,$1.0,$1.5,50%,$0.75,19/07/2025,10/07/2027,Available
Beverages,Lemon Soda 500Ml,BEVE-LEMO500-001,1111111111116,BATCH9012,128,20,$0.9,$1.5,0%,$1.5,19/07/2025,19/07/2026,Available
Beverages,Orange Juice 1L,BEVE-ORAN1-001,0123456789012,BATCH001,147,200,$1.19,$2.43,0%,$2.43,10/07/2025,13/11/2026,Low Stock
Bakery,Whole Wheat Bread,BAKE-WHOL-001,1122334455666,BATCH002,124,50,$1.25,$1.8,0%,$1.80,10/07/2025,12/11/2025,Available
Dairy,Fresh Milk 1L,DAIR-FRES1-001,5656565656562,BATCH003,323,50,$1.75,$3.13,0%,$3.13,10/07/2025,27/02/2026,Available
Snacks,Potato Chips 150G,SNAC-POTA150-001,5555555555550,BATCH004,221,30,$0.85,$2.22,0%,$2.22,10/07/2025,16/05/2026,Available
Canned Goods,Tuna In Oil 185G,CANN-TUNA185-001,9999999999994,BATCH005,169,20,$1.97,$3.09,0%,$3.09,10/07/2025,11/06/2026,Available
Canned Goods,Tuna In Oil 185G,CANN-TUNA185-001,9999999999994,BATCH006,0,30,$1.97,$3.09,0%,$3.09,10/07/2025,09/10/2025,Out of Stock
Personal Care,Shampoo 400Ml,PERS-SHAM400-001,7777777777772,BATCH007,44,20,$1.86,$3.06,0%,$3.06,10/07/2025,08/10/2027,Available
Frozen Foods,Frozen Pizza Margherita,FROZ-FROZ-001,8888888888888,BATCH114,21,20,$0.91,$1.48,0%,$1.48,10/07/2025,06/12/2025,Available
Canned Goods,Chickpeas 400G,CANN-CHIC400-001,4444444444444,BATCH457,20,30,$1.61,$3.01,0%,$3.01,10/07/2025,06/03/2025,Expired
Snacks,Chocolate Bar 100G,SNAC-CHOC100-001,3333333333338,BATCH11,228,30,$2.26,$3.04,0%,$3.04,10/07/2025,04/07/2025,Expired
Cleaning Supplies,Laundry Detergent 1L,CLEA-LAUN1-001,6666666666666,BATCH654,243,25,$1.06,$2.42,0%,$2.42,10/07/2025,10/07/2027,Available
Personal Care,Body Lotion 200Ml,PERS-BODY200-001,1212121212128,BATCH784,239,30,$1.98,$3.19,0%,$3.19,10/07/2025,10/07/2025,Expired
